Score,Name,Title,Firm,Category,Location,LinkedIn,Why relevant,Stage fit / flags
8,Wan Li Zhu,Co-founder & Managing Partner,Suffolk Technologies,Built-world VC,Boston US,linkedin.com/in/wanli,First investments incl. Smartvid.io — AI safety detection on camera feeds (Oracle exit),Pre-seed/seed + BOOST accelerator
8,Rob Martens,President,Allegion Ventures,Strategic CVC,Carmel IN US,linkedin.com/in/rmartens,CVC of school door-hardware/egress maker; led VergeSense sensor round; $500K-10M,Early-stage strategic; unique K-12 channel
7,Garrett Langley,Co-founder & CEO; angel,Flock Safety,Operator angel,Atlanta US,linkedin.com/in/glangley,Built Flock ($8.4B); angel in ~4 startups,Signal check; competitive-risk care
7,Bill Clerico,Founder & Managing Partner,Convective Capital,Disaster-resilience VC,San Francisco US,linkedin.com/in/billclerico,Wildfire/disaster fund; backed Pano AI (CV threat detection on cameras),Pre-seed/seed lead; pitch evacuation angle only
7,Brad Harrison,Founder & Managing Partner,Scout Ventures,Dual-use seed VC,New York/Austin US,linkedin.com/in/bradharrison,Leads seeds $3-6M; Fund V $125M; ID.me; West Point/Ranger,Seed (bigger checks)
7,Nicola Sinclair,Founder & GP (solo),Twin Track Ventures,UK dual-use pre-seed,London UK,linkedin.com/in/nicola-sinclair-,NIF-backed; ≤£500K; helps startups win defence/security customers; ex-RAF,Pre-seed co-investor (not lead)
7,Will McManners,Founder & Managing Partner,MD One Ventures,UK natsec VC,London UK,uk.linkedin.com/in/william-mcmanners,First money into Labrys; national-resilience accelerator; $100K-1M,Pre-seed to A
7,Graham Forman,Founder & Managing Director,Edovate Capital,K-12 pre-seed micro-fund,Denver US,linkedin.com/in/grahamforman,K-12-only; 'School Operations' thesis; co-invested CurvePoint; open cold-inbound,$100-500K first checks
7,Vojta Roček,Partner,Presto Tech Horizons,CEE security seed,Prague CZ,linkedin.com/in/vojtarocek,€150M CEE defense/security/resilience fund w/ CSG; €300K-3M,Seed/A lead
7,Meka Asonye,Founder & Managing Partner,Prist Capital (ex-First Round),Seed VC,San Francisco US,linkedin.com/in/mekaasonye,Did Prepared's seed at First Round; now runs own fund,Verify new fund stage; strong category knowledge
7,Kelly Perdew,Co-founder & GP,Moonshots Capital,Veteran seed fund,Los Angeles US,moonshotscapital.com team,Seed fund for veteran-led cos (ID.me); West Point/Army intel,Seed
7,Craig Cummings,Co-founder & GP,Moonshots Capital,Veteran seed fund,Austin US,moonshotscapital.com team,Same fund; NSA background,Seed
7,Jim Hunt,Co-founder & Managing Partner,Lavrock Ventures,Dual-use VC,Arlington VA US,lavrockvc.com,Dual-use natsec seed/A; $2-4M checks,Seed/A
7,Guy Filippelli,Founder & Managing Partner,Squadra Ventures,Cyber/natsec VC,Baltimore US,squadra.vc,$105M early-stage cyber+natsec; ex-Army intel; RedOwl founder,Seed/A
7,Esther Wojcicki,Educator; angel,Independent,Edu angel,Palo Alto US,public figure,Angel in Remind ClassDojo Newsela; educator credibility de-risks district optics,Angel
7,Wayne Boulais,Co-founder & Managing Director,Tensility Venture Partners,AI seed VC,Chicago US,linkedin.com/in/wayne-boulais-9a5252,Personally authored Tensility-Actuate collaboration post (deal partner on gun-detection AI),Seed-stage AI fund
7,Kent Goldman,Founder,Upside Partnership,Seed fund,San Francisco US,linkedin.com/in/kentgoldman,Aegis AI/Actuate seed backer; seed-only micro-fund,Seed; verify actively deploying
7,Jim Dugan,CEO & Co-founder,OCA Ventures,Early-stage VC,Chicago US,linkedin.com/in/jim-dugan-b4369a3,OCA in Actuate Series A; security in thesis,Seed/A
7,Elizabeth Weil,Founder & Managing Partner,Scribble Ventures,Early-stage VC,SF Bay Area US,linkedin.com/in/elizabethweil,Actuate listed among personal investments,Pre-seed/seed
7,Brian Garrett,Co-founder & Managing Director,Crosscut Ventures,LA seed VC,Los Angeles US,linkedin.com/in/briangarrett1,Quoted on Crosscut leading HiveWatch seed (physical security),Seed lead
7,Jenny Lefcourt,General Partner,Freestyle Capital,Seed VC,San Francisco US,linkedin.com/in/jennylefcourt,Freestyle in HiveWatch seed; seed-only $1.5-3M checks,Seed
7,Dave Samuel,General Partner,Freestyle Capital,Seed VC,San Francisco US,linkedin.com/in/thedjdave,Same firm/deal,Seed
7,Collin Gutman,Co-founder & Managing Partner,SaaS Ventures,Seed VC,Washington DC US,linkedin.com/in/collingutman,HiveWatch seed participant; enterprise SaaS seed fund,Seed
7,J.S. Gamble,Co-founder & Managing Partner,Blu Venture Investors,Cyber angel/VC group,Vienna VA US,linkedin.com/in/jsgamble,DMV's most active early security investor; ex-MACH37,Pre-seed/seed via main group (Cyber Fund is A+)
7,Derren Burrell,Founder & Managing Partner,Veteran Ventures Capital,Defense VC,Tysons VA US,linkedin.com/in/derrenburrell,Early-stage veteran-led natsec fund ~$100M,Seed/A; confirm pre-revenue appetite
7,Tim Hsia,Founder & Managing Partner,Context Ventures,Veteran pre-seed fund,San Francisco US,linkedin.com/in/timhsia,$250K-1M pre-seed/seed for veteran founders; Military Veteran Startups conference,Pre-seed/seed (best if founder is veteran)
7,Alexander Harstrick,Co-founder & Managing Partner,J2 Ventures,Dual-use seed VC,Boston US,linkedin.com/in/alexanderharstrick,$250M fund; ex-DIU; leads seeds $2-7M,Seed lead (bigger checks)
7,Fern Mandelbaum,MD Venture Investments,Emerson Collective,Impact VC,Palo Alto US,linkedin.com/in/fern-mandelbaum-a485851,Leads early-stage investing; education core sector,Early-stage
7,Shauntel Garvey,Co-founder & GP,Reach Capital,K-12 edtech VC,San Francisco US,linkedin.com/in/shauntelpoulson,Co-founded leading K-12 seed fund ($215M Fund IV); district GTM network,Seed
7,Tobias Schirmer,Founding Partner,JOIN Capital,DE enterprise VC,Berlin DE,de.linkedin.com/in/tobiasschirmer,Fund III €235M for defence/dual-use/security (NIF+EIF LPs); sensing portfolio,Pre-Series A ~€1.5M
7,Ed Stacey,Co-founder & Managing Partner,IQ Capital,EU deeptech seed,Cambridge UK,uk.linkedin.com/in/edstacey,GP at firm that led Alpine Eagle seed; $400M deeptech fund,Seed
7,Ian Hogarth,Co-founder Partner,Plural,EU early VC,London UK,LI slug unverified,Articulated Plural's Labrys rationale; UK AI Security Institute chair,Seed/A larger checks
7,Marko Oolo,General Partner,Superangel,Baltic pre-seed,Tallinn EE,ee.linkedin.com/in/markooolo,Superangel is Labrys investor; €100K-1M,Pre-seed/seed
7,Marcin P. Kowalik,General Partner,Balnord,Baltic dual-use VC,Gdańsk PL,LI slug not captured,€70M frontier + dual-use Baltic fund,Early-stage
7,Riku Seppälä,Co-founder & GP,Icebreaker.vc,FI pre-seed,Helsinki FI,linkedin.com/in/rikuvs,€150-800K first checks; deeptech/AI/cyber,Pre-seed core
7,Kevin Mandia,Founding Partner,Ballistic Ventures,Cyber VC,Alexandria VA US,linkedin.com/in/kevin-mandia-0a07173,Mandiant founder; Ballistic writes pre-seed-A $1-10M,Stage fits; cyber thesis — pitch AI-threat-detection angle
7,Nadir Izrael,Co-founder & CTO Armis; angel,Armis,Operator angel,SF/Tel Aviv US/IL,linkedin.com/in/nadiriz,10+ angel deals 5 exits; US-Europe-Israel bridge,Angel
7,John Bicket,Co-founder & CTO,Samsara,Operator angel,San Francisco US,linkedin.com/in/jbicket,3 angel deals; Samsara = physical-ops safety; Meraki mafia,Angel
7,Jyoti Bansal,CEO Harness; co-founder Unusual Ventures,Unusual Ventures,Operator angel + fund,San Francisco US,LI unverified,Ambient.ai angel; Unusual does pre-seed/seed,Angel + fund door
7,Karl Alomar,Managing Partner,M13,Seed VC,New York US,LI unverified,Named in Prepared pre-seed angel list; M13 led that round,Seed
7,Tom Axbey,ex-CEO Rave Mobile Safety,Operator/investor/advisor,Emergency-response operator,Boston US,LI not found,Rave = K-12 panic-button platform; Armored Things board (crowd-safety analytics),Advisor/angel
7,Tyler Bosmeny,General Partner,Y Combinator,Accelerator,San Francisco US,linkedin.com/in/tylerbosmeny,Clever co-founder; champions K-12 infrastructure; YC seeded Flock+Ambient,Apply to YC naming him
7,Effie Epstein,Managing Partner,Sound Ventures,VC,Los Angeles US,linkedin.com/in/epsteineffie,Runs Sound day-to-day ($1B AUM); Mark43-backer firm; (Kutcher left Jul 2026 — track his new firm too),Deal intake at Sound
7,Sophia Bush,Angel; GP Union Heritage,Union Heritage Ventures,Celebrity angel,Los Angeles US,linkedin.com/in/sophia-bush,Mark43 investor+advisor; 15 yrs impact angel,Angel
7,Matt Prusak,Syndicate lead,Defense Angels (AngelList),Syndicate,US,LI unverified,Dual-use/natsec AngelList syndicate — direct application channel,Syndicate
7,Gregory McNeal,Syndicate lead; Professor,Permissionless Capital,Syndicate,Los Angeles US,LI unverified,Tech/policy syndicate incl. defense/security; regulated-industry thesis,Syndicate
7,Zach Aarons,Co-founder & GP,MetaProp,Proptech seed VC,New York US,linkedin.com/in/zachaarons,Early Latch (access control) investor; $100M proptech seed fund,Seed core
7,Casey Berman,Co-founder & Managing Partner,Camber Creek,Proptech VC,Washington DC US,linkedin.com/in/caseyberman,First money into Latch,Seed-growth
7,Raj Singh,Managing Partner,JLL Spark,Proptech CVC,San Francisco US,linkedin.com/in/rajsingh,Led VergeSense $1.5M seed (AI camera/sensor in buildings),Seed-B $1-8M
7,Darren Bechtel,Founder & Managing Director,Brick & Mortar Ventures,Construction-tech VC,San Francisco US,linkedin.com/in/darrenbechtel,Serious Labs (hazardous-work safety training); most active built-env seed,Seed
7,Jennifer Place,Principal,Munich Re Ventures,Insurance CVC,SF Bay Area US,linkedin.com/in/jennifer-place,Leads $125M HSB built-world resilience fund; FloodFlash (IoT parametric),Early-stage capable; strategic
7,Brittany Clements,Managing Director,American Family Ventures,Insurance CVC,Madison WI US,linkedin.com/in/clementsbrittany,AFV $500K-5M seed-B; Hover in portfolio,Seed capable
7,Erik Ross,Founder & Managing Partner,Nationwide Ventures,Insurance CVC,Columbus OH US,linkedin.com/in/esross,Betterview (AI property hazard); Ting sensors to 500k homes — loss-prevention thesis,Seed + A minority checks
7,Parker Beauchamp,Founder & Managing Partner,Markd,Insurtech seed VC,Boulder CO US,linkedin.com/in/parkerbeauchamp,$100M fund; 9 seed deals avg $1.68M; led Irys seed,Seed core; pitch loss-prevention-cuts-claims
7,Colin Beirne,Partner (founder of TSV),Deviation Capital (ex-Two Sigma Ventures),Early-stage VC,New York US,linkedin.com/in/colin-beirne-526577,Founded TSV (RapidSOS + Bark investor); $2B AUM spin-out May 2026,Early-stage
7,Beth Turner,Founder & GP,Valkyrie (ex-SV Angel),Seed VC,San Francisco US,Forbes profile,Ran SV Angel's seed fund; new $45M AI fund (Dec 2025),Seed; fresh fund deploying
6,Clara Brenner,Co-founder & Managing Partner,Urban Innovation Fund,Urban-tech VC,San Francisco US,linkedin.com/in/clara-brenner-10824828,Pre-seed/seed $500K-3.5M; 'public health & safety' vertical (no specific safety deal verified),Pre-seed/seed
6,Jackson Moses,Founder & Managing Partner,Silent Ventures,Defense pre-seed,Dallas US,linkedin.com/in/jacksonmoses,Concept-stage defense checks; early Anduril/Hadrian; BI Seed 100,Pre-seed; defense-first framing needed
6,Assaf Shamia,MD / Investment Partner,G+D Ventures,TrustTech CVC,Munich DE,linkedin.com/in/assafshamia,TrustTech fund; backed brighter AI (GDPR video); posts TrustTech explainers,Seed-A; GDPR angle
6,Michael Hochholzer,Managing Director,G+D Ventures,TrustTech CVC,Munich DE,linkedin.com/in/michael-hochholzer-450a22,Same fund; ex-Siemens VC,Seed-A
6,Rick Hao,Founder & Managing Partner,Ruya Ventures,Deeptech pre-seed,London UK,LI unverified,New $50M solo-GP pre-seed deeptech fund (Jul 2026); ex-Speedinvest deeptech,Pre-seed; no security deal yet
6,Jonathan Jou,MD Head of Direct Investing,Stand Together Ventures Lab,Impact VC,Arlington VA US,LI via firm,Public-safety thesis (community-safety framing); early-stage,Lead w/ teacher-empowerment framing
6,Rob Joyce,Venture Partner,DataTribe,Cyber foundry,Fulton MD US,LI via firm,Ex-NSA Cybersecurity Director / Homeland Security Advisor,Seed foundry; cyber-core
6,Ron Gula,President,Gula Tech Adventures,Cyber family office,Columbia MD US,gula.tech,Tenable co-founder; ~$150M; seed/A actively deploying,Cyber-only framing needed
6,Rebecca Gevalt,Managing Partner,Dcode Capital,Govtech VC,Washington DC US,linkedin.com/in/rebecca-gevalt-9383a5112,Ex-CIA/In-Q-Tel liaison; federal GTM expertise,Co-invests; not a lead
6,Vivian Wu,Managing Partner,CZI Ventures,Impact CVC,San Francisco US,linkedin.com/in/vivianwusf,CZI still writes for-profit checks (~$300M deployed),Follows mission rounds; rarely leads
6,Kristin Groos Richmond,Managing Director,Draper Richards Kaplan,Impact fund,SF Bay Area US,LI not found,Revolution Foods founder (K-12 at scale); DRK $300K seed-A checks never leads,Small strategic check
6,Jan Borgstädt,Founding Partner,JOIN Capital,DE enterprise VC,Berlin DE,LI slug not found,Same Fund III defence/dual-use mandate,Pre-Series A
6,Jeannette zu Fürstenberg,MD Head of Europe,General Catalyst,Multi-stage VC,Berlin DE,de.linkedin.com/in/jeannette-zu-fürstenberg-a4227a17a,Leads GC European resilience; Helsing board,Usually larger; brand halo
6,Mikko Silventola,General Partner,Superangel,Baltic pre-seed,Tallinn EE,LI not found,First investor in Bolt; same fund as Oolo,Pre-seed/seed
6,Robert Verwaayen,Co-founder & GP,Keen Venture Partners,NL defense VC,Amsterdam NL,linkedin.com/in/rverwaayen,Dedicated European Defence & Security Fund,Historically Series A — confirm seed
6,Benjamin Erhart,General Partner,UVC Partners,DE industrial VC,Munich DE,LI via posts,UVC backed Blickfeld (LiDAR marketed for security/perimeter),Early-stage B2B
6,Reece Chowdhry,Founding Partner,Concept Ventures,UK pre-seed,London UK,linkedin.com/in/reecec,Largest UK dedicated pre-seed fund ($88M); work/play/learn thesis,Up to £750K; no security evidence
6,Marie-Christine Levet,Founder & Partner,Educapital,EU edtech VC,Paris FR,linkedin.com/in/marie-christine-levet-26132,First European edtech fund ($160M); ministries as LPs,$3-10M skews A
6,Aleksander Dobrzyniecki,General Partner,Balnord,Baltic dual-use VC,Gdańsk PL,LI slug not captured,Co-GP €70M fund,Early-stage
6,Pontus Stråhlman,Partner,Voima Ventures,Nordic deeptech,Helsinki FI,fi.linkedin.com/in/strahlman,€90-100M science-based deeptech Fund III (no security deal confirmed),Seed
6,George Kurtz,Founder & CEO,CrowdStrike,Operator angel,Austin US,LI unverified,Ambient.ai angel,Small checks; busy
6,Mark Leslie,Leslie Ventures,Leslie Ventures,Operator angel,Palo Alto US,LI not found,Ambient.ai angel; Veritas founding CEO; Stanford GSB,Angel
6,Ken Singer,MD,UC Berkeley SCET,Academic investor,Berkeley US,LI unverified,Led Perimeter's $4.4M community round,Community-round check
6,Brett Kopf,Co-founder Omella; partner Rolling Fun,Rolling Fun,Edtech operator angel,Austin US,LI unverified (X @brettkopf),Remind co-founder; runs small angel fund,Angel
6,Vinay Mahadik,Co-founder & CEO,Securly,K-12 safety operator,San Jose US,LI unverified,K-12 student-safety CEO; 1 angel deal; also design-partner potential,Thin angel record
6,Jason Palmer,General Partner,New Markets Venture Partners,Edtech VC,Washington DC US,LI unverified,20-yr edtech investor; K-12 seed fund,Seed/A
6,Gen. David Petraeus,Partner,KKR / personal,Strategic angel,New York US,linkedin.com/in/davidpetraeus,Personal investor in ~20 startups; Mark43 backer,Personal checks via natsec circuit
6,Kurt Ramirez,General Partner,Nine Four Ventures,Proptech VC,Chicago US,linkedin.com/in/kurtramirez,SmartRent portfolio; smart-locks thesis piece,Pre-seed/seed
6,Travis Connors,Co-founder & GP,Building Ventures,Built-world VC,Boston US,linkedin.com/in/travis-connors-75422,75F sensors/building controls,Seed; sensors not safety
6,John Y. Kim,Founder & Managing Partner,Brewer Lane Ventures,Insurtech VC,Boston US,linkedin.com/in/john-kim-47a484185,Cape Analytics (geospatial AI property risk),Seed capable
6,Andrew Lerner,Managing Partner,IA Capital Group,Insurtech VC,New York US,linkedin.com/in/andrew-lerner-217b267,Insurtech x physical/climate risk (Demex),Seed selectively
6,Brian McLoughlin,Co-founder & Partner,MTech Capital,Insurtech VC,Santa Monica US,linkedin.com/in/bmcloughlin,Corvus (dynamic loss prevention),Seed/A
6,Amy Nauiokas,Founder & CEO,Anthemis Group,Fintech/insurtech VC,New York US,linkedin.com/in/amynauiokas,Risk-mitigation insurtech thesis; kWh Analytics,Seed capable; no dedicated insurance partner now
6,Dan Nova,General Partner,Highland Capital Partners,Multi-stage VC,Cambridge MA US,linkedin.com/in/dan-nova-bba09946,Led RapidSOS A+B; board member,Meet early lead the A
6,Rob Rueckert,Managing Director,Sorenson Capital,VC,Palo Alto US,linkedin.com/in/robrueckert,Led ZeroEyes Series B; co-founded Sorenson Ventures seed arm ($150M Fund III),Ventures arm does seed/A
6,Dan Abelon,Co-founder & GP,Isogon Ventures (ex-TSV),Early AI VC,New York US,linkedin.com/in/danabelon,Wrote TSV's Bark investment (deal partner); knows safety category,Thesis = industrial/physical AI
6,Brandon Tidwell,Co-founder & GP,Run Ventures (ex-Signal Peak),VC,Salt Lake City US,linkedin.com/in/brandon-tidwell-35a9aa,Quoted MD on Bark Series A; new $290M fund,Leads A; selective seed
6,Ulrich Quay,Partner,NATO Innovation Fund,Sovereign fund,EU,via nif.fund,Current NIF partner (post-refresh); €1-15M seed-B,Too big for pre-seed; seed+ signal investor
6,Sander Verbrugge,Partner,NATO Innovation Fund,Sovereign fund,EU,via nif.fund,Current NIF partner; deeptech,Same
5,Michael S. Kim,Founder & CEO,Octave Ventures,VC,Henderson NV US,LI not found,Led ZeroEyes Series A twice; ZeroEyes board,Series A oriented; build early
5,Brian Hirsch,Co-founder & Managing Partner,Tribeca Venture Partners,NYC VC,New York US,linkedin.com/in/brianhirsch,Quoted partner on Actuate Series A,Seed-A; led at A
